product_id,title,vendor,product_type,category,subcategory,total_quantity,total_revenue,total_list_revenue,order_count,revenue_share
gid://shopify/LineItem/14102726770902,Bipro Classic Display Megaplex,,,Control de Peso,CLA,2,119850.0,159800.0,1,5.327313425435784e-06
gid://shopify/LineItem/14083849715926,Bipro Classic Display Megaplex,,,Control de Peso,CLA,2,119850.0,159800.0,1,5.327313425435784e-06
gid://shopify/LineItem/14173113942230,Bipro Classic Display Megaplex,,,Control de Peso,CLA,2,119850.0,159800.0,1,5.327313425435784e-06
gid://shopify/LineItem/14332018000086,Bipro Classic Display Megaplex,,,Control de Peso,CLA,2,119850.0,159800.0,1,5.327313425435784e-06
gid://shopify/LineItem/14647919247574,Fit Bar Megaplex,,,Proteínas,Barras y Snacks de Proteína,20,119000.0,170000.0,1,5.289531060716381e-06
gid://shopify/LineItem/14138340049110,Fit Bar Megaplex,,,Proteínas,Barras y Snacks de Proteína,20,119000.0,170000.0,1,5.289531060716381e-06
gid://shopify/LineItem/14030525792470,Fit Bar Megaplex,,,Proteínas,Barras y Snacks de Proteína,20,119000.0,170000.0,1,5.289531060716381e-06
gid://shopify/LineItem/14362534019286,Fit Bar Megaplex,,,Proteínas,Barras y Snacks de Proteína,17,115600.0,144500.0,1,5.13840160183877e-06
gid://shopify/LineItem/14444257181910,Fit Bar Megaplex,,,Proteínas,Barras y Snacks de Proteína,17,115600.0,144500.0,1,5.13840160183877e-06
gid://shopify/LineItem/13989277860054,CRE4 Smart Nutrition,,,Salud y Bienestar,Otros Suplementos de Bienestar,2,115500.0,154000.0,1,5.1339566177541346e-06
gid://shopify/LineItem/14529203830998,CRE4 Smart Nutrition,,,Salud y Bienestar,Otros Suplementos de Bienestar,2,115500.0,154000.0,1,5.1339566177541346e-06
gid://shopify/LineItem/14541758169302,CRE4 Smart Nutrition,,,Salud y Bienestar,Otros Suplementos de Bienestar,2,115500.0,154000.0,1,5.1339566177541346e-06
gid://shopify/LineItem/14522947174614,CRE4 Smart Nutrition,,,Salud y Bienestar,Otros Suplementos de Bienestar,2,115500.0,154000.0,1,5.1339566177541346e-06
gid://shopify/LineItem/14386825298134,CRE4 Smart Nutrition,,,Salud y Bienestar,Otros Suplementos de Bienestar,2,115500.0,154000.0,1,5.1339566177541346e-06
gid://shopify/LineItem/14370908176598,CRE4 Smart Nutrition,,,Salud y Bienestar,Otros Suplementos de Bienestar,2,115500.0,154000.0,1,5.1339566177541346e-06
gid://shopify/LineItem/14348913934550,CRE4 Smart Nutrition,,,Salud y Bienestar,Otros Suplementos de Bienestar,2,115500.0,154000.0,1,5.1339566177541346e-06
gid://shopify/LineItem/14298506035414,CRE4 Smart Nutrition,,,Salud y Bienestar,Otros Suplementos de Bienestar,2,115500.0,154000.0,1,5.1339566177541346e-06
gid://shopify/LineItem/14635913281750,CRE4 Smart Nutrition,,,Salud y Bienestar,Otros Suplementos de Bienestar,2,115500.0,154000.0,1,5.1339566177541346e-06
gid://shopify/LineItem/14289706680534,CRE4 Smart Nutrition,,,Salud y Bienestar,Otros Suplementos de Bienestar,2,115500.0,154000.0,1,5.1339566177541346e-06
gid://shopify/LineItem/14295039312086,CRE4 Smart Nutrition,,,Salud y Bienestar,Otros Suplementos de Bienestar,2,115500.0,154000.0,1,5.1339566177541346e-06
gid://shopify/LineItem/14127152595158,Fit Bar Megaplex,,,Proteínas,Barras y Snacks de Proteína,19,113050.0,161500.0,1,5.025054507680562e-06
gid://shopify/LineItem/14384483926230,Fit Bar Megaplex,,,Proteínas,Barras y Snacks de Proteína,19,113050.0,161500.0,1,5.025054507680562e-06
gid://shopify/LineItem/13897453732054,Crea Stack Megaplex,,,Salud y Bienestar,Otros Suplementos de Bienestar,1,112492.5,149990.0,1,5.000273721408718e-06
gid://shopify/LineItem/13885205512406,Crea Stack Megaplex,,,Salud y Bienestar,Otros Suplementos de Bienestar,1,112492.5,149990.0,1,5.000273721408718e-06
gid://shopify/LineItem/13880471945430,Crea Stack Megaplex,,,Salud y Bienestar,Otros Suplementos de Bienestar,1,112492.5,149990.0,1,5.000273721408718e-06
gid://shopify/LineItem/13885786357974,Crea Stack Megaplex,,,Salud y Bienestar,Otros Suplementos de Bienestar,1,112492.5,149990.0,1,5.000273721408718e-06
gid://shopify/LineItem/13882605338838,Crea Stack Megaplex,,,Salud y Bienestar,Otros Suplementos de Bienestar,1,112492.5,149990.0,1,5.000273721408718e-06
gid://shopify/LineItem/13890839707862,Crea Stack Megaplex,,,Salud y Bienestar,Otros Suplementos de Bienestar,1,112492.5,149990.0,1,5.000273721408718e-06
gid://shopify/LineItem/13894801096918,Crea Stack Megaplex,,,Salud y Bienestar,Otros Suplementos de Bienestar,1,112492.5,149990.0,1,5.000273721408718e-06
gid://shopify/LineItem/13880635719894,Crea Stack Megaplex,,,Salud y Bienestar,Otros Suplementos de Bienestar,1,112492.5,149990.0,1,5.000273721408718e-06
gid://shopify/LineItem/13901199933654,Crea Stack Megaplex,,,Salud y Bienestar,Otros Suplementos de Bienestar,1,112492.5,149990.0,1,5.000273721408718e-06
gid://shopify/LineItem/13891006759126,Crea Stack Megaplex,,,Salud y Bienestar,Otros Suplementos de Bienestar,1,112492.5,149990.0,1,5.000273721408718e-06
gid://shopify/LineItem/13902046494934,Crea Stack Megaplex,,,Salud y Bienestar,Otros Suplementos de Bienestar,1,112492.5,149990.0,1,5.000273721408718e-06
gid://shopify/LineItem/13894364233942,Crea Stack Megaplex,,,Salud y Bienestar,Otros Suplementos de Bienestar,1,112492.5,149990.0,1,5.000273721408718e-06
gid://shopify/LineItem/14120459894998,Bipro Classic Display Megaplex,,,Control de Peso,CLA,2,111860.0,159800.0,1,4.972159197073398e-06
